State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.44733	2.49934	2.51495	2.50714	2.66059	2.74641	2.76982	2.85305	2.85825	2.86605	2.81403	3.00909	3.09232	3.00649	3.02470	3.08451	3.19375	3.10532	3.11052	3.13653	3.23276
2	2.08556	2.03590	2.03093	2.01604	1.92169	2.03093	2.02100	2.07066	2.16501	2.09549	2.01604	2.00611	1.89686	1.82734	1.78265	1.82734	1.81741	1.81245	1.90183	1.93659	1.99121
3	1.08721	1.08554	1.07887	1.06386	1.01884	0.97382	1.00050	0.95047	0.93880	0.94047	0.92046	0.87377	0.86877	0.82875	0.80874	0.79706	0.75371	0.75538	0.77872	0.80540	0.82041
4	4.73228	4.64564	4.49404	4.42365	4.48862	4.30453	4.08795	3.97425	3.79015	3.61689	3.47611	3.45987	3.28660	3.38948	3.48694	3.50860	3.69811	3.78474	3.57899	3.50318	3.43821
5	2.84270	2.69073	2.85611	2.73990	2.65051	2.56558	2.65498	2.71308	2.77119	2.64604	2.68179	2.77119	2.89187	2.86952	2.81588	2.77566	2.68626	2.74437	2.85164	2.72649	2.66392
6	1.19802	1.25440	1.18628	1.23796	1.19567	1.32957	1.29903	1.36715	1.40944	1.44937	1.26614	1.16983	1.10641	1.17923	1.27789	1.27554	1.28259	1.26380	1.21681	1.27554	1.25675
7	1.35121	1.35149	1.35340	1.35696	1.36352	1.35833	1.37118	1.37255	1.38184	1.39880	1.44830	1.47072	1.50135	1.52213	1.53581	1.55413	1.57464	1.60664	1.63562	1.65504	1.67965
8	0.45892	0.45976	0.46168	0.46336	0.46540	0.46654	0.46852	0.47187	0.47319	0.47721	0.47955	0.48273	0.48530	0.48764	0.48974	0.49340	0.49730	0.49826	0.50065	0.50413	0.50713
9	1.13535	1.13363	1.13117	1.12946	1.13191	1.13167	1.13093	1.12847	1.12725	1.13044	1.13093	1.12798	1.12946	1.13240	1.13731	1.13510	1.13731	1.13977	1.13928	1.14051	1.14124
10	3.38225	3.38639	3.38179	3.38087	3.35555	3.34128	3.31044	3.27178	3.24324	3.20227	3.16637	3.10009	3.03749	2.99100	2.92702	2.86349	2.78018	2.72034	2.65406	2.58502	2.50861
