State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.61281	3.82398	3.95022	4.13844	4.16139	3.84005	3.47051	2.87602	2.53632	2.96554	3.04358	2.11627	2.14152	2.26547	2.75666	3.08489	3.44296	3.53707	3.43608	3.30983	3.17441
2	5.66643	5.57879	5.35967	4.63219	3.61547	2.55055	1.75296	1.31034	1.13504	1.31034	1.34978	1.13504	1.25336	1.70037	2.48043	5.37281	9.54485	12.93244	14.69854	15.35590	15.14555
3	1.65266	1.48342	1.22147	0.98748	0.77703	0.59896	0.54745	0.53568	0.50478	0.48417	0.49595	0.49447	0.49595	0.52096	0.59307	0.77262	1.28769	1.99261	2.81527	3.53637	4.22216
4	7.76039	9.33732	11.39210	14.12544	17.05470	20.02219	21.73769	22.27289	22.00051	20.83932	24.26077	35.91569	43.58051	47.90511	48.76526	45.15266	37.90836	30.49202	24.14131	19.17638	15.28663
5	4.47723	4.98215	5.92887	7.46336	9.75917	13.75514	19.68796	27.89686	35.64424	38.16884	36.77636	30.93033	22.81610	16.30736	11.41199	8.13001	5.81053	4.33522	3.40032	2.91907	2.54827
6	3.65706	3.90376	4.19401	4.72474	5.33010	5.86912	5.97071	5.24925	3.77730	3.67986	3.33986	2.24316	2.19548	2.08975	2.00682	1.85341	1.71451	1.55280	1.44292	1.36414	1.35377
7	2.38527	2.32010	2.22839	2.06524	1.85647	1.59991	1.31102	1.04794	0.87103	0.77594	0.73636	0.73757	0.79573	0.88093	0.95671	1.05350	1.13917	1.21954	1.28519	1.32815	1.36170
8	0.34517	0.34136	0.33829	0.33501	0.33189	0.32533	0.32014	0.31300	0.30797	0.30437	0.30094	0.30062	0.30168	0.30586	0.31141	0.31591	0.32083	0.32369	0.32739	0.33020	0.33237
9	1.18537	1.17756	1.16564	1.15155	1.13552	1.11319	1.08090	1.04167	1.01067	0.99225	0.98900	0.98943	1.01999	1.05402	1.09650	1.12988	1.14982	1.17019	1.18125	1.19209	1.19837
10	0.81937	0.75600	0.69750	0.62804	0.57766	0.53704	0.50048	0.47164	0.46473	0.45823	0.45579	0.46595	0.48017	0.49398	0.51226	0.55166	0.62194	0.71538	0.84050	0.97577	1.11592
