State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	1.34446	2.14371	2.30246	1.40061	2.81433	3.04367	3.17198	0.37172
2	0.70417	0.61769	1.77373	2.15787	2.01128	1.34982	4.69520	0.21490
3	2.09693	0.36898	1.08250	2.18807	0.92056	0.49596	1.14576	0.24244
4	0.64579	29.61549	6.07356	1.95933	3.47648	24.25674	21.58091	0.22450
5	0.78230	35.33433	5.13299	1.05276	2.68208	36.77750	13.97342	0.38217
6	1.48852	2.38334	1.27876	0.75509	1.26628	3.33997	3.29328	0.64194
7	12.78614	0.82830	1.14743	0.93329	1.44845	0.73638	1.39337	0.62239
8	58.31738	0.19858	0.43353	0.77183	0.47960	0.30094	0.35047	1.27386
9	14.23782	1.26253	1.12498	1.09776	1.13105	0.98903	1.18946	0.89532
10	7.59649	0.71705	3.62977	2.13553	3.16578	0.45581	0.66696	0.32222
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
