State (Emission order)	H3K27me3	H2AFZ	H3K4me2	H3K4me3	H3K9ac	H3K79me2	H3K36me3	H3K9me1	H3K4me1	H3K9me3
1	0.00800759545264259	0.055063741603096295	0.05437940944344672	0.0353573430332606	0.0431760859250525	0.03079577430897545	0.07684783429540741	0.09924602078323976	0.6715388649286902	0.01877310178907439
2	3.209132146974847E-4	0.03307666681274959	0.20368247760357358	0.10380942203894789	0.15001297088969884	0.9248051924217574	0.27617157524559527	0.17839207672534324	0.725762860949598	0.011545670411729452
3	3.062670747686787E-4	5.407500664380313E-4	1.755134862251698E-4	0.0013668031485553525	0.0019335190674824164	0.661738167074153	0.14529118330022073	0.048330814247872965	0.04656582488915084	0.016991512639439217
4	1.0509917322878786E-4	0.46955019896969974	0.9679158980165135	0.9331391016135862	0.9442694766530367	0.9435721971707978	0.10956507296372994	0.054668500876189255	0.3464116229588136	0.007972663105408694
5	0.007228672560046534	0.8198309124687877	0.884725759799365	0.7397843019442301	0.709559331334744	0.04473898230513851	0.01744040660442249	0.06350508308465647	0.5232251006425885	0.01570197556034326
6	0.00562677714067064	0.7112538945021024	0.06085635133848322	0.04138820609539449	0.05256046253547792	0.002581743103923316	0.006868020278128241	0.04889846982860055	0.460787223647787	0.016183962328943688
7	0.0020264088669932055	0.022612522795740483	1.5434380438067652E-4	9.136917035550144E-4	4.4506369610642125E-4	7.32559802460621E-4	0.002547856706324885	0.01356907499406192	0.009897540524275598	0.011316524597125068
8	0.001069918910317442	4.970108925204195E-4	1.1938513103458728E-4	4.3548216222072123E-4	9.49052611490827E-5	6.873142860398183E-5	7.343128767111865E-4	0.00580483136372424	4.316217558974666E-4	0.00568767643572564
9	0.052873326052780785	0.004267840039757311	6.234310345111474E-4	0.001285147754020361	2.8632163697004027E-4	7.354987414462856E-5	7.630826052775112E-4	0.03232646689393678	0.0025246726026882183	0.002565671253355879
10	2.436200529677937E-4	2.3583511585649694E-4	1.7209756513442267E-4	7.303713618096902E-4	9.508511902537342E-4	0.018472066148422367	0.1781804361214513	0.037017467705644944	0.0049940280883779	0.010326334663503576
